Genome ID,Genome Name,Resistance_Label,Species,Label
562.12187,Escherichia coli EC8928,Resistant,Escherichia coli,1
562.139994,Escherichia coli MGL_136_B9,Resistant,Escherichia coli,1
562.126326,Escherichia coli PK-5136,Resistant,Escherichia coli,1
562.126006,Escherichia coli 19-17,Resistant,Escherichia coli,1
562.104069,Escherichia coli G3M3-2,Resistant,Escherichia coli,1
562.36156,Escherichia coli strain 13-220M,Resistant,Escherichia coli,1
562.90521,Escherichia coli P30-81,Resistant,Escherichia coli,1
1268975.3,Escherichia coli 110957,Resistant,Escherichia coli,1
562.90717,Escherichia coli ZDHYF620,Resistant,Escherichia coli,1
562.60357,Escherichia coli strain GZB8C53M,Resistant,Escherichia coli,1
562.149898,Escherichia coli 4B062,Resistant,Escherichia coli,1
562.123084,Escherichia coli CHS107,Resistant,Escherichia coli,1
562.135173,Escherichia coli ECO04,Resistant,Escherichia coli,1
562.1648,Escherichia coli strain MGH169,Resistant,Escherichia coli,1
562.59102,Escherichia coli strain M-22-X3,Resistant,Escherichia coli,1
562.139675,Escherichia coli B20127,Resistant,Escherichia coli,1
562.80389,Escherichia coli strain ZDHYF620,Resistant,Escherichia coli,1
562.107312,Escherichia coli EC21Z-083,Resistant,Escherichia coli,1
562.137491,Escherichia coli LACPHL-BACT-2023-00169,Resistant,Escherichia coli,1
562.134426,Escherichia coli XYEH944,Resistant,Escherichia coli,1
562.20507,Escherichia coli strain KPC-Tunisia,Resistant,Escherichia coli,1
562.104051,Escherichia coli GXR2,Resistant,Escherichia coli,1
562.87622,Escherichia coli strain ME2L-20-111,Resistant,Escherichia coli,1
562.50935,Escherichia coli strain CC43,Resistant,Escherichia coli,1
562.107708,Escherichia coli SM_1447,Resistant,Escherichia coli,1
562.134034,Escherichia coli G49,Resistant,Escherichia coli,1
562.104071,Escherichia coli G3P2-1,Resistant,Escherichia coli,1
1389425.3,Escherichia coli LAU-EC4,Resistant,Escherichia coli,1
562.75743,Escherichia coli strain SCPM-O-B-9135 (B-A51E-17-1) strain SCPM-O-B-9135 (B-A51E-17-1) strain SCPM-O-B-9135 (B-A51E-17-1),Resistant,Escherichia coli,1
562.91767,Escherichia coli R203-1,Resistant,Escherichia coli,1
562.135352,Escherichia coli GDQ20D104M,Resistant,Escherichia coli,1
562.90786,Escherichia coli 6020,Resistant,Escherichia coli,1
562.1512,Escherichia coli strain EC160090,Resistant,Escherichia coli,1
562.128847,Escherichia coli AHM9C114I,Resistant,Escherichia coli,1
