Genome ID,Genome Name,Resistance_Label,Species,Label
573.73058,Klebsiella pneumoniae 23-2667,Resistant,Klebsiella pneumoniae,1
72407.1403,Klebsiella pneumoniae subsp. pneumoniae strain AMKP4,Resistant,Klebsiella pneumoniae,1
573.14475,Klebsiella pneumoniae KPN896ec,Resistant,Klebsiella pneumoniae,1
573.14419,Klebsiella pneumoniae KPN819ec,Resistant,Klebsiella pneumoniae,1
573.1448,Klebsiella pneumoniae KPN904ec,Resistant,Klebsiella pneumoniae,1
573.21374,Klebsiella pneumoniae strain EuSCAPE_SK005,Resistant,Klebsiella pneumoniae,1
573.22384,Klebsiella pneumoniae strain CRK0152,Resistant,Klebsiella pneumoniae,1
573.43941,Klebsiella pneumoniae 105,Resistant,Klebsiella pneumoniae,1
573.24436,Klebsiella pneumoniae strain MUGSI_77,Resistant,Klebsiella pneumoniae,1
573.57359,Klebsiella pneumoniae KMB-1240,Resistant,Klebsiella pneumoniae,1
573.29425,Klebsiella pneumoniae strain 1204109,Resistant,Klebsiella pneumoniae,1
573.68024,Klebsiella pneumoniae CDK5401,Resistant,Klebsiella pneumoniae,1
573.18181,Klebsiella pneumoniae strain WCHKP020094,Resistant,Klebsiella pneumoniae,1
573.22439,Klebsiella pneumoniae strain CRK0116,Resistant,Klebsiella pneumoniae,1
573.65224,Klebsiella pneumoniae KP1920,Resistant,Klebsiella pneumoniae,1
573.35622,Klebsiella pneumoniae strain k64,Resistant,Klebsiella pneumoniae,1
573.74265,Klebsiella pneumoniae WYZHKP28,Resistant,Klebsiella pneumoniae,1
573.17697,Klebsiella pneumoniae strain COL-Kpn91,Resistant,Klebsiella pneumoniae,1
573.48245,Klebsiella pneumoniae 81A10,Resistant,Klebsiella pneumoniae,1
573.2435,Klebsiella pneumoniae strain MUGSI_136,Resistant,Klebsiella pneumoniae,1
72407.869,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020133,Resistant,Klebsiella pneumoniae,1
573.15041,Klebsiella pneumoniae strain 48,Resistant,Klebsiella pneumoniae,1
573.29924,Klebsiella pneumoniae strain Kpngiani7132614,Resistant,Klebsiella pneumoniae,1
573.67705,Klebsiella pneumoniae Kp1495,Resistant,Klebsiella pneumoniae,1
573.16443,Klebsiella pneumoniae strain KP1766,Resistant,Klebsiella pneumoniae,1
573.1324,Klebsiella pneumoniae KPN1261ec,Resistant,Klebsiella pneumoniae,1
573.45217,Klebsiella pneumoniae 13,Resistant,Klebsiella pneumoniae,1
573.31383,Klebsiella pneumoniae strain LSH-KPN25,Resistant,Klebsiella pneumoniae,1
573.5698,Klebsiella pneumoniae 6267032,Resistant,Klebsiella pneumoniae,1
573.21215,Klebsiella pneumoniae strain EuSCAPE_SK012,Resistant,Klebsiella pneumoniae,1
573.13651,Klebsiella pneumoniae KPN1755ec,Resistant,Klebsiella pneumoniae,1
573.1769,Klebsiella pneumoniae strain COL-Kpn101,Resistant,Klebsiella pneumoniae,1
573.14846,Klebsiella pneumoniae strain WCHKP2080,Resistant,Klebsiella pneumoniae,1
573.24375,Klebsiella pneumoniae strain MUGSI_194,Resistant,Klebsiella pneumoniae,1
573.50527,Klebsiella pneumoniae strain 150040X0B1,Resistant,Klebsiella pneumoniae,1
573.17879,Klebsiella pneumoniae strain KPNIH45,Resistant,Klebsiella pneumoniae,1
573.53564,Klebsiella pneumoniae 331,Resistant,Klebsiella pneumoniae,1
573.37772,Klebsiella pneumoniae strain Kp376,Resistant,Klebsiella pneumoniae,1
573.51922,Klebsiella pneumoniae PEkp157,Resistant,Klebsiella pneumoniae,1
573.6312,Klebsiella pneumoniae CRKPN51,Resistant,Klebsiella pneumoniae,1
573.48142,Klebsiella pneumoniae 96202,Resistant,Klebsiella pneumoniae,1
573.58221,Klebsiella pneumoniae SCCH110:Kpn216562,Resistant,Klebsiella pneumoniae,1
573.25657,Klebsiella pneumoniae strain BA4656,Resistant,Klebsiella pneumoniae,1
573.33242,Klebsiella pneumoniae strain NR6517,Resistant,Klebsiella pneumoniae,1
573.23323,Klebsiella pneumoniae strain kpneu048,Resistant,Klebsiella pneumoniae,1
573.29905,Klebsiella pneumoniae strain Kpngiani7132606,Resistant,Klebsiella pneumoniae,1
573.77954,Klebsiella pneumoniae D4L,Resistant,Klebsiella pneumoniae,1
573.55114,Klebsiella pneumoniae KP7034,Resistant,Klebsiella pneumoniae,1
573.77447,Klebsiella pneumoniae Kp256,Resistant,Klebsiella pneumoniae,1
573.13477,Klebsiella pneumoniae KPN1548ec,Resistant,Klebsiella pneumoniae,1
573.21231,Klebsiella pneumoniae strain EuSCAPE_IT094,Resistant,Klebsiella pneumoniae,1
573.28002,Klebsiella pneumoniae strain 2014080,Resistant,Klebsiella pneumoniae,1
573.54187,Klebsiella pneumoniae PS_Kpn35,Resistant,Klebsiella pneumoniae,1
573.5192,Klebsiella pneumoniae PEkp170,Resistant,Klebsiella pneumoniae,1
573.77751,Klebsiella pneumoniae KP-409017,Resistant,Klebsiella pneumoniae,1
573.62402,Klebsiella pneumoniae INSAA1702,Resistant,Klebsiella pneumoniae,1
573.45201,Klebsiella pneumoniae 40B,Resistant,Klebsiella pneumoniae,1
72407.2033,Klebsiella pneumoniae subsp. pneumoniae LC-79/19,Resistant,Klebsiella pneumoniae,1
573.46814,Klebsiella pneumoniae KP41,Resistant,Klebsiella pneumoniae,1
573.36688,Klebsiella pneumoniae strain CCBH17428,Resistant,Klebsiella pneumoniae,1
573.33204,Klebsiella pneumoniae strain KP1003,Resistant,Klebsiella pneumoniae,1
573.78003,Klebsiella pneumoniae 33RA-02,Resistant,Klebsiella pneumoniae,1
573.50252,Klebsiella pneumoniae C1732,Resistant,Klebsiella pneumoniae,1
573.5768,Klebsiella pneumoniae strain 15_GR_13,Resistant,Klebsiella pneumoniae,1
573.78623,Klebsiella pneumoniae NT009,Resistant,Klebsiella pneumoniae,1
573.5763,Klebsiella pneumoniae strain 19_GR_14,Resistant,Klebsiella pneumoniae,1
573.14907,Klebsiella pneumoniae strain L440,Resistant,Klebsiella pneumoniae,1
573.51928,Klebsiella pneumoniae PEkp156,Resistant,Klebsiella pneumoniae,1
573.57143,Klebsiella pneumoniae YMC/2017/03/R3980,Resistant,Klebsiella pneumoniae,1
573.20885,Klebsiella pneumoniae strain EuSCAPE_RS015,Resistant,Klebsiella pneumoniae,1
573.53827,Klebsiella pneumoniae K39,Resistant,Klebsiella pneumoniae,1
573.53482,Klebsiella pneumoniae NR1202,Resistant,Klebsiella pneumoniae,1
573.31604,Klebsiella pneumoniae strain KP-MO-25,Resistant,Klebsiella pneumoniae,1
573.41282,Klebsiella pneumoniae strain NCTC 13438 strain not collected,Resistant,Klebsiella pneumoniae,1
573.58204,Klebsiella pneumoniae YMC/2016/03/N835,Resistant,Klebsiella pneumoniae,1
1328383.3,Klebsiella pneumoniae BWH 22,Resistant,Klebsiella pneumoniae,1
573.1486,Klebsiella pneumoniae strain WCHKP8D7,Resistant,Klebsiella pneumoniae,1
72407.1063,Klebsiella pneumoniae subsp. pneumoniae strain 1108/1989,Resistant,Klebsiella pneumoniae,1
573.63095,Klebsiella pneumoniae PP-E1031,Resistant,Klebsiella pneumoniae,1
573.219,Klebsiella pneumoniae strain EuSCAPE_IT264,Resistant,Klebsiella pneumoniae,1
573.22525,Klebsiella pneumoniae strain CRK0017,Resistant,Klebsiella pneumoniae,1
573.13438,Klebsiella pneumoniae KPN1501ec,Resistant,Klebsiella pneumoniae,1
573.47161,Klebsiella pneumoniae AE-2247421-T20-MAC,Resistant,Klebsiella pneumoniae,1
573.18155,Klebsiella pneumoniae strain WCHKP015247,Resistant,Klebsiella pneumoniae,1
573.12527,Klebsiella pneumoniae strain 45708,Resistant,Klebsiella pneumoniae,1
573.67398,Klebsiella pneumoniae MGL_K_8,Resistant,Klebsiella pneumoniae,1
573.73086,Klebsiella pneumoniae DCP2,Resistant,Klebsiella pneumoniae,1
573.48136,Klebsiella pneumoniae 108728,Resistant,Klebsiella pneumoniae,1
573.43057,Klebsiella pneumoniae strain SDWK14,Resistant,Klebsiella pneumoniae,1
573.29366,Klebsiella pneumoniae strain BD_DM_697,Resistant,Klebsiella pneumoniae,1
573.44778,Klebsiella pneumoniae 17G2,Resistant,Klebsiella pneumoniae,1
573.63296,Klebsiella pneumoniae KLEB-CRE-TBH-0073,Resistant,Klebsiella pneumoniae,1
573.24365,Klebsiella pneumoniae strain MUGSI_161,Resistant,Klebsiella pneumoniae,1
573.41234,Klebsiella pneumoniae strain SDWK31,Resistant,Klebsiella pneumoniae,1
573.49842,Klebsiella pneumoniae FY4,Resistant,Klebsiella pneumoniae,1
573.19863,Klebsiella pneumoniae strain BC_1484,Resistant,Klebsiella pneumoniae,1
573.56944,Klebsiella pneumoniae 6299430,Resistant,Klebsiella pneumoniae,1
573.27624,Klebsiella pneumoniae strain S_2228,Resistant,Klebsiella pneumoniae,1
573.5268,Klebsiella pneumoniae 31,Resistant,Klebsiella pneumoniae,1
573.49056,Klebsiella pneumoniae MI3.6.T8,Resistant,Klebsiella pneumoniae,1
573.13771,Klebsiella pneumoniae KPN1917ec,Resistant,Klebsiella pneumoniae,1
573.44009,Klebsiella pneumoniae KP18-2073,Resistant,Klebsiella pneumoniae,1
573.50834,Klebsiella pneumoniae 1403,Resistant,Klebsiella pneumoniae,1
573.54154,Klebsiella pneumoniae ID_1201_21,Resistant,Klebsiella pneumoniae,1
573.67449,Klebsiella pneumoniae Kp776,Resistant,Klebsiella pneumoniae,1
573.31655,Klebsiella pneumoniae strain NMI427_17,Resistant,Klebsiella pneumoniae,1
573.24053,Klebsiella pneumoniae strain MUGSI_113,Resistant,Klebsiella pneumoniae,1
573.1314,Klebsiella pneumoniae KPN1140ec,Resistant,Klebsiella pneumoniae,1
573.21841,Klebsiella pneumoniae strain EuSCAPE_IT180,Resistant,Klebsiella pneumoniae,1
573.27337,Klebsiella pneumoniae strain 15,Resistant,Klebsiella pneumoniae,1
573.50519,Klebsiella pneumoniae strain 1020,Resistant,Klebsiella pneumoniae,1
573.53576,Klebsiella pneumoniae CRKP_39,Resistant,Klebsiella pneumoniae,1
573.29955,Klebsiella pneumoniae strain Kpngiani7132495,Resistant,Klebsiella pneumoniae,1
573.13067,Klebsiella pneumoniae KPN1045ec,Resistant,Klebsiella pneumoniae,1
573.67423,Klebsiella pneumoniae Kp4129,Resistant,Klebsiella pneumoniae,1
1304924.3,Klebsiella pneumoniae 646_1568,Resistant,Klebsiella pneumoniae,1
573.15037,Klebsiella pneumoniae strain 32,Resistant,Klebsiella pneumoniae,1
573.67313,Klebsiella pneumoniae ERR7221320,Resistant,Klebsiella pneumoniae,1
573.24101,Klebsiella pneumoniae strain MUGSI_22,Resistant,Klebsiella pneumoniae,1
573.78328,Klebsiella pneumoniae KP3762-1,Resistant,Klebsiella pneumoniae,1
573.65257,Klebsiella pneumoniae KP1736,Resistant,Klebsiella pneumoniae,1
573.23992,Klebsiella pneumoniae strain 255,Resistant,Klebsiella pneumoniae,1
573.57014,Klebsiella pneumoniae 409BR,Resistant,Klebsiella pneumoniae,1
573.39687,Klebsiella pneumoniae strain PAC1_966,Resistant,Klebsiella pneumoniae,1
573.24424,Klebsiella pneumoniae strain MUGSI_61,Resistant,Klebsiella pneumoniae,1
573.22,Klebsiella pneumoniae strain EuSCAPE_HU031,Resistant,Klebsiella pneumoniae,1
573.44736,Klebsiella pneumoniae 17B88,Resistant,Klebsiella pneumoniae,1
573.14815,Klebsiella pneumoniae strain 13,Resistant,Klebsiella pneumoniae,1
573.49447,Klebsiella pneumoniae 21103127,Resistant,Klebsiella pneumoniae,1
573.5349,Klebsiella pneumoniae KP0222,Resistant,Klebsiella pneumoniae,1
573.49856,Klebsiella pneumoniae FY104,Resistant,Klebsiella pneumoniae,1
573.23225,Klebsiella pneumoniae strain KP_307,Resistant,Klebsiella pneumoniae,1
573.46598,Klebsiella pneumoniae 7,Resistant,Klebsiella pneumoniae,1
573.24318,Klebsiella pneumoniae strain FDA-CDC-AR_0106,Resistant,Klebsiella pneumoniae,1
573.29966,Klebsiella pneumoniae strain Kpngiani7132519,Resistant,Klebsiella pneumoniae,1
573.12488,Klebsiella pneumoniae strain H155360912,Resistant,Klebsiella pneumoniae,1
573.29952,Klebsiella pneumoniae strain Kpngiani7132503,Resistant,Klebsiella pneumoniae,1
573.43063,Klebsiella pneumoniae strain SDWK7,Resistant,Klebsiella pneumoniae,1
573.78753,Klebsiella pneumoniae 5012/22,Resistant,Klebsiella pneumoniae,1
573.54759,Klebsiella pneumoniae HB-3,Resistant,Klebsiella pneumoniae,1
573.74288,Klebsiella pneumoniae WYZHKP102,Resistant,Klebsiella pneumoniae,1
573.26013,Klebsiella pneumoniae strain NJSDYYY43-CR,Resistant,Klebsiella pneumoniae,1
573.33331,Klebsiella pneumoniae strain NR0932,Resistant,Klebsiella pneumoniae,1
573.27459,Klebsiella pneumoniae strain 178J9,Resistant,Klebsiella pneumoniae,1
573.49129,Klebsiella pneumoniae kp104,Resistant,Klebsiella pneumoniae,1
573.22499,Klebsiella pneumoniae strain CRK0053,Resistant,Klebsiella pneumoniae,1
573.63178,Klebsiella pneumoniae PS00261.3,Resistant,Klebsiella pneumoniae,1
573.13778,Klebsiella pneumoniae KPN1926ec,Resistant,Klebsiella pneumoniae,1
573.18678,Klebsiella pneumoniae strain BC_4497,Resistant,Klebsiella pneumoniae,1
573.52277,Klebsiella pneumoniae COL-Kpn48,Resistant,Klebsiella pneumoniae,1
573.45114,Klebsiella pneumoniae Nord77_R886,Resistant,Klebsiella pneumoniae,1
573.14791,Klebsiella pneumoniae strain 14,Resistant,Klebsiella pneumoniae,1
573.24154,Klebsiella pneumoniae strain MUGSI_7,Resistant,Klebsiella pneumoniae,1
72407.893,Klebsiella pneumoniae subsp. pneumoniae strain SCKP020154,Resistant,Klebsiella pneumoniae,1
573.35018,Klebsiella pneumoniae strain CCBH28206,Resistant,Klebsiella pneumoniae,1
573.55109,Klebsiella pneumoniae SXCZ2328,Resistant,Klebsiella pneumoniae,1
573.65554,Klebsiella pneumoniae HZ-CRKP-49,Resistant,Klebsiella pneumoniae,1
573.66148,Klebsiella pneumoniae ERR2106615,Resistant,Klebsiella pneumoniae,1
573.63414,Klebsiella pneumoniae N841,Resistant,Klebsiella pneumoniae,1
573.54851,Klebsiella pneumoniae H5,Resistant,Klebsiella pneumoniae,1
573.49564,Klebsiella pneumoniae XHKPN404,Resistant,Klebsiella pneumoniae,1
573.17908,Klebsiella pneumoniae strain AR_0066,Resistant,Klebsiella pneumoniae,1
573.52524,Klebsiella pneumoniae DH20,Resistant,Klebsiella pneumoniae,1
573.7027,Klebsiella pneumoniae strain AR_0003,Resistant,Klebsiella pneumoniae,1
573.53713,Klebsiella pneumoniae CRKP-32,Resistant,Klebsiella pneumoniae,1
573.33223,Klebsiella pneumoniae strain NR0018,Resistant,Klebsiella pneumoniae,1
573.78361,Klebsiella pneumoniae LZQ24,Resistant,Klebsiella pneumoniae,1
573.12879,Klebsiella pneumoniae 3289,Resistant,Klebsiella pneumoniae,1
573.5777,Klebsiella pneumoniae strain 14_GR_14,Resistant,Klebsiella pneumoniae,1
573.78704,Klebsiella pneumoniae 9589,Resistant,Klebsiella pneumoniae,1
573.1824,Klebsiella pneumoniae strain CFSAN054110,Resistant,Klebsiella pneumoniae,1
573.78957,Klebsiella pneumoniae 2018C06-148,Resistant,Klebsiella pneumoniae,1
573.54257,Klebsiella pneumoniae ID_0482_21,Resistant,Klebsiella pneumoniae,1
573.21617,Klebsiella pneumoniae strain EuSCAPE_IT048,Resistant,Klebsiella pneumoniae,1
573.51954,Klebsiella pneumoniae PEkp112,Resistant,Klebsiella pneumoniae,1
573.5218,Klebsiella pneumoniae F44,Resistant,Klebsiella pneumoniae,1
573.50602,Klebsiella pneumoniae strain HA2-23,Resistant,Klebsiella pneumoniae,1
573.29985,Klebsiella pneumoniae strain Kpngiani7132529,Resistant,Klebsiella pneumoniae,1
573.7905,Klebsiella pneumoniae A871,Resistant,Klebsiella pneumoniae,1
573.3,Klebsiella pneumoniae strain Kpngiani7132542,Resistant,Klebsiella pneumoniae,1
573.37648,Klebsiella pneumoniae strain EC0397-F-N726-1-636,Resistant,Klebsiella pneumoniae,1
573.25593,Klebsiella pneumoniae strain F5,Resistant,Klebsiella pneumoniae,1
573.57177,Klebsiella pneumoniae 2020C07-241,Resistant,Klebsiella pneumoniae,1
573.31654,Klebsiella pneumoniae strain NMI2894_14,Resistant,Klebsiella pneumoniae,1
573.18612,Klebsiella pneumoniae strain WCHKP015584,Resistant,Klebsiella pneumoniae,1
573.62693,Klebsiella pneumoniae 20200203_MGL_09,Resistant,Klebsiella pneumoniae,1
72407.2014,Klebsiella pneumoniae subsp. pneumoniae WCHKP020089,Resistant,Klebsiella pneumoniae,1
573.13849,Klebsiella pneumoniae KPN201ec,Resistant,Klebsiella pneumoniae,1
573.2741,Klebsiella pneumoniae strain KCJ3K379,Resistant,Klebsiella pneumoniae,1
573.14228,Klebsiella pneumoniae KPN547ec,Resistant,Klebsiella pneumoniae,1
573.33354,Klebsiella pneumoniae strain NR3900,Resistant,Klebsiella pneumoniae,1
573.13573,Klebsiella pneumoniae KPN1667ec,Resistant,Klebsiella pneumoniae,1
573.72933,Klebsiella pneumoniae WYZHKP07,Resistant,Klebsiella pneumoniae,1
573.14935,Klebsiella pneumoniae strain L117,Resistant,Klebsiella pneumoniae,1
72407.166,Klebsiella pneumoniae subsp. pneumoniae strain WRC31_S468MPCH,Resistant,Klebsiella pneumoniae,1
573.52282,Klebsiella pneumoniae COL-Kpn101,Resistant,Klebsiella pneumoniae,1
573.65479,Klebsiella pneumoniae ZZX-CZA-S,Resistant,Klebsiella pneumoniae,1
573.13369,Klebsiella pneumoniae KPN1428ec,Resistant,Klebsiella pneumoniae,1
573.30015,Klebsiella pneumoniae strain Kpngiani7132543,Resistant,Klebsiella pneumoniae,1
573.29078,Klebsiella pneumoniae strain RADAR76,Resistant,Klebsiella pneumoniae,1
573.29979,Klebsiella pneumoniae strain Kpngiani7132525,Resistant,Klebsiella pneumoniae,1
573.27326,Klebsiella pneumoniae strain 44,Resistant,Klebsiella pneumoniae,1
573.29526,Klebsiella pneumoniae strain CL2079,Resistant,Klebsiella pneumoniae,1
574.27,Klebsiella pneumoniae subsp. ozaenae strain FDA-CDC-AR_0051,Resistant,Klebsiella pneumoniae,1
573.14788,Klebsiella pneumoniae strain 45,Resistant,Klebsiella pneumoniae,1
573.50929,Klebsiella pneumoniae HSTCP-M-KP_ST11-10,Resistant,Klebsiella pneumoniae,1
573.29875,Klebsiella pneumoniae strain Kpngiani7132570,Resistant,Klebsiella pneumoniae,1
573.68092,Klebsiella pneumoniae S24,Resistant,Klebsiella pneumoniae,1
573.29719,Klebsiella pneumoniae strain ZKP12,Resistant,Klebsiella pneumoniae,1
72407.1602,Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy,Resistant,Klebsiella pneumoniae,1
573.2066,Klebsiella pneumoniae strain EuSCAPE_PT028,Resistant,Klebsiella pneumoniae,1
573.69437,Klebsiella pneumoniae 130119X10B1,Resistant,Klebsiella pneumoniae,1
573.44565,Klebsiella pneumoniae kp-202,Resistant,Klebsiella pneumoniae,1
573.78973,Klebsiella pneumoniae 2014C06-125,Resistant,Klebsiella pneumoniae,1
573.21765,Klebsiella pneumoniae strain EuSCAPE_IT234,Resistant,Klebsiella pneumoniae,1
573.47271,Klebsiella pneumoniae KP14,Resistant,Klebsiella pneumoniae,1
573.44797,Klebsiella pneumoniae 18B28,Resistant,Klebsiella pneumoniae,1
573.24393,Klebsiella pneumoniae strain MUGSI_31,Resistant,Klebsiella pneumoniae,1
573.73098,Klebsiella pneumoniae KP150,Resistant,Klebsiella pneumoniae,1
573.57186,Klebsiella pneumoniae 2020N17-097,Resistant,Klebsiella pneumoniae,1
573.77971,Klebsiella pneumoniae E3H,Resistant,Klebsiella pneumoniae,1
573.50067,Klebsiella pneumoniae bat32,Resistant,Klebsiella pneumoniae,1
573.21688,Klebsiella pneumoniae strain EuSCAPE_IL080,Resistant,Klebsiella pneumoniae,1
573.5241,Klebsiella pneumoniae ST11 CRKP23,Resistant,Klebsiella pneumoniae,1
573.36211,Klebsiella pneumoniae strain Kp5144,Resistant,Klebsiella pneumoniae,1
573.24167,Klebsiella pneumoniae strain MUGSI_86,Resistant,Klebsiella pneumoniae,1
573.13235,Klebsiella pneumoniae KPN1256ec,Resistant,Klebsiella pneumoniae,1
573.1425,Klebsiella pneumoniae KPN576ec,Resistant,Klebsiella pneumoniae,1
573.18641,Klebsiella pneumoniae strain WCHKP015237,Resistant,Klebsiella pneumoniae,1
573.33193,Klebsiella pneumoniae strain NR1113,Resistant,Klebsiella pneumoniae,1
573.18635,Klebsiella pneumoniae strain WCHKP015376,Resistant,Klebsiella pneumoniae,1
573.21725,Klebsiella pneumoniae strain EuSCAPE_IT015,Resistant,Klebsiella pneumoniae,1
573.7896,Klebsiella pneumoniae 2016C06-098,Resistant,Klebsiella pneumoniae,1
72407.2101,Klebsiella pneumoniae subsp. pneumoniae T1,Resistant,Klebsiella pneumoniae,1
573.49035,Klebsiella pneumoniae RM2.56.T8,Resistant,Klebsiella pneumoniae,1
573.14277,Klebsiella pneumoniae KPN610ec,Resistant,Klebsiella pneumoniae,1
573.42313,Klebsiella pneumoniae strain KPC03,Resistant,Klebsiella pneumoniae,1
573.54301,Klebsiella pneumoniae A301,Resistant,Klebsiella pneumoniae,1
573.19949,Klebsiella pneumoniae strain F1,Resistant,Klebsiella pneumoniae,1
573.13392,Klebsiella pneumoniae KPN1450ec,Resistant,Klebsiella pneumoniae,1
573.38813,Klebsiella pneumoniae strain KP3295,Resistant,Klebsiella pneumoniae,1
573.26049,Klebsiella pneumoniae strain NJSXKYY21-CR,Resistant,Klebsiella pneumoniae,1
573.31597,Klebsiella pneumoniae strain ICBKPS3.2,Resistant,Klebsiella pneumoniae,1
573.65584,Klebsiella pneumoniae HZ-CRKP-19,Resistant,Klebsiella pneumoniae,1
573.43068,Klebsiella pneumoniae strain SDWK2,Resistant,Klebsiella pneumoniae,1
573.78516,Klebsiella pneumoniae HD2064,Resistant,Klebsiella pneumoniae,1
573.46701,Klebsiella pneumoniae MUGSI_111,Resistant,Klebsiella pneumoniae,1
573.36622,Klebsiella pneumoniae strain C5,Resistant,Klebsiella pneumoniae,1
573.50008,Klebsiella pneumoniae K210223,Resistant,Klebsiella pneumoniae,1
573.47259,Klebsiella pneumoniae KP105,Resistant,Klebsiella pneumoniae,1
573.20551,Klebsiella pneumoniae strain EuSCAPE_PT043,Resistant,Klebsiella pneumoniae,1
573.21938,Klebsiella pneumoniae strain EuSCAPE_HU004,Resistant,Klebsiella pneumoniae,1
573.49042,Klebsiella pneumoniae RM2.62.T8,Resistant,Klebsiella pneumoniae,1
573.36224,Klebsiella pneumoniae strain Kp5156,Resistant,Klebsiella pneumoniae,1
573.34185,Klebsiella pneumoniae strain NEF130,Resistant,Klebsiella pneumoniae,1
573.48066,Klebsiella pneumoniae ET35,Resistant,Klebsiella pneumoniae,1
573.13689,Klebsiella pneumoniae KPN1821ec,Resistant,Klebsiella pneumoniae,1
573.50778,Klebsiella pneumoniae KpA1-20,Resistant,Klebsiella pneumoniae,1
573.79421,Klebsiella pneumoniae WYKP756,Resistant,Klebsiella pneumoniae,1
573.45062,Klebsiella pneumoniae DY1815,Resistant,Klebsiella pneumoniae,1
573.54717,Klebsiella pneumoniae DX3-2,Resistant,Klebsiella pneumoniae,1
573.58349,Klebsiella pneumoniae KP234,Resistant,Klebsiella pneumoniae,1
573.27621,Klebsiella pneumoniae strain S_1897,Resistant,Klebsiella pneumoniae,1
573.13394,Klebsiella pneumoniae KPN1453ec,Resistant,Klebsiella pneumoniae,1
573.62352,Klebsiella pneumoniae KP10042 msdw-4,Resistant,Klebsiella pneumoniae,1
573.18516,Klebsiella pneumoniae strain WUSM_KP_64,Resistant,Klebsiella pneumoniae,1
573.24079,Klebsiella pneumoniae strain MUGSI_149,Resistant,Klebsiella pneumoniae,1
573.47329,Klebsiella pneumoniae CCBH29093,Resistant,Klebsiella pneumoniae,1
573.45255,Klebsiella pneumoniae cpe059,Resistant,Klebsiella pneumoniae,1
573.18624,Klebsiella pneumoniae strain WCHKP015520,Resistant,Klebsiella pneumoniae,1
573.66127,Klebsiella pneumoniae ERR1829913,Resistant,Klebsiella pneumoniae,1
573.24269,Klebsiella pneumoniae strain 25,Resistant,Klebsiella pneumoniae,1
573.33125,Klebsiella pneumoniae strain NR5180,Resistant,Klebsiella pneumoniae,1
573.24404,Klebsiella pneumoniae strain MUGSI_34,Resistant,Klebsiella pneumoniae,1
573.50163,Klebsiella pneumoniae FY,Resistant,Klebsiella pneumoniae,1
573.29938,Klebsiella pneumoniae strain Kpngiani7132501,Resistant,Klebsiella pneumoniae,1
573.24343,Klebsiella pneumoniae strain MUGSI_126,Resistant,Klebsiella pneumoniae,1
573.26027,Klebsiella pneumoniae strain GCMMYY5-CR,Resistant,Klebsiella pneumoniae,1
573.43868,Klebsiella pneumoniae KpBO_TO5,Resistant,Klebsiella pneumoniae,1
573.33819,Klebsiella pneumoniae strain Kp392,Resistant,Klebsiella pneumoniae,1
573.21018,Klebsiella pneumoniae strain EuSCAPE_IE024,Resistant,Klebsiella pneumoniae,1
573.13978,Klebsiella pneumoniae KPN233ec,Resistant,Klebsiella pneumoniae,1
573.2563,Klebsiella pneumoniae strain NH34,Resistant,Klebsiella pneumoniae,1
573.31298,Klebsiella pneumoniae strain KPN673,Resistant,Klebsiella pneumoniae,1
573.20356,Klebsiella pneumoniae strain 4300STDY6636935,Resistant,Klebsiella pneumoniae,1
573.13432,Klebsiella pneumoniae KPN1495ec,Resistant,Klebsiella pneumoniae,1
573.13957,Klebsiella pneumoniae KPN2168ec,Resistant,Klebsiella pneumoniae,1
573.14968,Klebsiella pneumoniae strain QJJ29,Resistant,Klebsiella pneumoniae,1
573.67332,Klebsiella pneumoniae ERR7221346,Resistant,Klebsiella pneumoniae,1
1438736.3,Klebsiella pneumoniae CHS 30,Resistant,Klebsiella pneumoniae,1
573.52423,Klebsiella pneumoniae KP1804 R4,Resistant,Klebsiella pneumoniae,1
573.21882,Klebsiella pneumoniae strain EuSCAPE_IT284,Resistant,Klebsiella pneumoniae,1
573.33357,Klebsiella pneumoniae strain NR4968,Resistant,Klebsiella pneumoniae,1
573.72934,Klebsiella pneumoniae WYZHKP06,Resistant,Klebsiella pneumoniae,1
573.14281,Klebsiella pneumoniae KPN614ec,Resistant,Klebsiella pneumoniae,1
573.39826,Klebsiella pneumoniae strain TUM12140,Resistant,Klebsiella pneumoniae,1
573.16452,Klebsiella pneumoniae strain GD108,Resistant,Klebsiella pneumoniae,1
573.33279,Klebsiella pneumoniae strain NR2936,Resistant,Klebsiella pneumoniae,1
573.52408,Klebsiella pneumoniae ST11 CRKP08,Resistant,Klebsiella pneumoniae,1
573.14804,Klebsiella pneumoniae strain 6,Resistant,Klebsiella pneumoniae,1
573.24313,Klebsiella pneumoniae strain 7,Resistant,Klebsiella pneumoniae,1
