Genome ID,Genome Name,Resistance_Label,Species,Label
1116049.3,Escherichia coli P0299917.3,Susceptible,Escherichia coli,0
562.7689,Escherichia coli strain 202387,Susceptible,Escherichia coli,0
562.91299,Escherichia coli FT11,Susceptible,Escherichia coli,0
562.90359,Escherichia coli C13-10,Susceptible,Escherichia coli,0
562.86292,Escherichia coli strain 64,Susceptible,Escherichia coli,0
562.23104,Escherichia coli O75:H7 strain ECO0747,Susceptible,Escherichia coli,0
1126888.3,Escherichia coli C2139_99,Susceptible,Escherichia coli,0
1116057.3,Escherichia coli MP021017.1,Susceptible,Escherichia coli,0
562.88284,Escherichia coli strain 21-MO00803,Susceptible,Escherichia coli,0
562.23106,Escherichia coli O75:H5 strain ECO0750,Susceptible,Escherichia coli,0
562.88748,Escherichia coli strain KCJ3K260,Susceptible,Escherichia coli,0
562.90175,Escherichia coli Fecal samples,Susceptible,Escherichia coli,0
1005525.3,Escherichia coli TW14313,Susceptible,Escherichia coli,0
562.85737,Escherichia coli strain C1-1,Susceptible,Escherichia coli,0
562.90496,Escherichia coli P31-11,Susceptible,Escherichia coli,0
562.91394,Escherichia coli ARS-CC9628,Susceptible,Escherichia coli,0
1181753.3,Escherichia coli KTE207,Susceptible,Escherichia coli,0
562.80246,Escherichia coli strain C20-2,Susceptible,Escherichia coli,0
562.7674,Escherichia coli strain G702074-2,Susceptible,Escherichia coli,0
562.77546,Escherichia coli strain EC4200 / O9:H31 / fimH426 / 11655 (ST Warwick) strain EC4200 / O9:H31 / fimH426 / 11655 (ST Warwick) strain EC4200 / O9:H31 / fimH426 / 11655 (ST Warwick),Susceptible,Escherichia coli,0
562.8844,Escherichia coli strain QH20-5D4-1,Susceptible,Escherichia coli,0
562.79563,Escherichia coli strain STEC1059 strain not applicable,Susceptible,Escherichia coli,0
562.9054,Escherichia coli strain B54,Susceptible,Escherichia coli,0
562.76438,Escherichia coli strain ZWEC312,Susceptible,Escherichia coli,0
562.7652,Escherichia coli strain 702898_aEPEC,Susceptible,Escherichia coli,0
562.81133,Escherichia coli strain Fecal samples,Susceptible,Escherichia coli,0
562.7811,Escherichia coli strain 05-6544,Susceptible,Escherichia coli,0
562.7727,Escherichia coli strain Ec17,Susceptible,Escherichia coli,0
562.89081,Escherichia coli strain Fecal samples,Susceptible,Escherichia coli,0
562.23734,Escherichia coli O162:H10 strain ECO1464,Susceptible,Escherichia coli,0
562.23899,Escherichia coli O25:H4 strain ECO1466,Susceptible,Escherichia coli,0
562.78108,Escherichia coli strain 7987,Susceptible,Escherichia coli,0
562.86842,Escherichia coli strain TUM17558,Susceptible,Escherichia coli,0
562.89964,Escherichia coli R45DY_1,Susceptible,Escherichia coli,0
562.80251,Escherichia coli strain C14-6,Susceptible,Escherichia coli,0
562.89828,Escherichia coli QH20-5T-2,Susceptible,Escherichia coli,0
562.23818,Escherichia coli O4:H1 strain ECO1210,Susceptible,Escherichia coli,0
562.58791,Escherichia coli strain ENV704,Susceptible,Escherichia coli,0
562.8576,Escherichia coli strain GN02388,Susceptible,Escherichia coli,0
562.80705,Escherichia coli strain XMC1F102-2,Susceptible,Escherichia coli,0
562.7873,Escherichia coli strain RU1 BHI3,Susceptible,Escherichia coli,0
562.77425,Escherichia coli strain BECR9,Susceptible,Escherichia coli,0
562.7801,Escherichia coli strain 362,Susceptible,Escherichia coli,0
562.9089,Escherichia coli strain JPH264,Susceptible,Escherichia coli,0
1163386.3,Escherichia coli LCT-EC106,Susceptible,Escherichia coli,0
562.86863,Escherichia coli strain Fecal samples,Susceptible,Escherichia coli,0
562.91312,Escherichia coli U4,Susceptible,Escherichia coli,0
562.90811,Escherichia coli CX15,Susceptible,Escherichia coli,0
562.90768,Escherichia coli 0104,Susceptible,Escherichia coli,0
562.86646,Escherichia coli strain 5290,Susceptible,Escherichia coli,0
562.45609,Escherichia coli strain EC_71,Susceptible,Escherichia coli,0
562.88613,Escherichia coli strain 12-1213-1P,Susceptible,Escherichia coli,0
1116059.3,Escherichia coli MP021017.3,Susceptible,Escherichia coli,0
1124984.3,Escherichia coli C1214_90,Susceptible,Escherichia coli,0
562.90167,Escherichia coli Fecal samples,Susceptible,Escherichia coli,0
562.79344,Escherichia coli strain P31-24,Susceptible,Escherichia coli,0
562.8988,Escherichia coli UPMP 1745,Susceptible,Escherichia coli,0
562.22835,Escherichia coli O102:H6 strain ECO0447,Susceptible,Escherichia coli,0
562.85647,Escherichia coli strain EC_46,Susceptible,Escherichia coli,0
562.7772,Escherichia coli strain G400792,Susceptible,Escherichia coli,0
562.91014,Escherichia coli KCJ3K442,Susceptible,Escherichia coli,0
562.77462,Escherichia coli strain SCPM-O--9007,Susceptible,Escherichia coli,0
562.22859,Escherichia coli O45:H7 strain ECO0476,Susceptible,Escherichia coli,0
562.77506,Escherichia coli strain C3,Susceptible,Escherichia coli,0
562.9107,Escherichia coli MS8322,Susceptible,Escherichia coli,0
562.78227,Escherichia coli strain ME2L-19-451,Susceptible,Escherichia coli,0
562.7717,Escherichia coli strain 200135_aEPEC,Susceptible,Escherichia coli,0
562.80514,Escherichia coli strain C072,Susceptible,Escherichia coli,0
562.9045,Escherichia coli C3-1,Susceptible,Escherichia coli,0
562.86729,Escherichia coli strain KCJ3K260,Susceptible,Escherichia coli,0
562.85818,Escherichia coli strain S472,Susceptible,Escherichia coli,0
562.87848,Escherichia coli strain JS105-1,Susceptible,Escherichia coli,0
562.87965,Escherichia coli strain MS10873,Susceptible,Escherichia coli,0
562.89854,Escherichia coli K55_1,Susceptible,Escherichia coli,0
562.86035,Escherichia coli strain MS10984,Susceptible,Escherichia coli,0
562.78948,Escherichia coli strain KE3742,Susceptible,Escherichia coli,0
562.78229,Escherichia coli strain ME2L-19-449,Susceptible,Escherichia coli,0
562.91035,Escherichia coli RIVM_C039227,Susceptible,Escherichia coli,0
1055537.36,Escherichia coli O121 strain 150152,Susceptible,Escherichia coli,0
562.77457,Escherichia coli strain SCPM-O--9002,Susceptible,Escherichia coli,0
562.8476,Escherichia coli strain 50640492,Susceptible,Escherichia coli,0
562.7712,Escherichia coli strain 403726_aEPEC,Susceptible,Escherichia coli,0
562.886,Escherichia coli strain 12-1297-3P,Susceptible,Escherichia coli,0
562.90299,Escherichia coli Fecal samples,Susceptible,Escherichia coli,0
1078034.108,Escherichia coli O145:H28 strain 160509,Susceptible,Escherichia coli,0
1169373.3,Escherichia coli KTE105,Susceptible,Escherichia coli,0
1068617.3,Escherichia coli O104:H4 str. 11-4632 C1,Susceptible,Escherichia coli,0
562.88408,Escherichia coli strain DFI.1.237,Susceptible,Escherichia coli,0
562.23697,Escherichia coli O108:H9 strain ECO1392,Susceptible,Escherichia coli,0
562.91055,Escherichia coli RIVM_C036569,Susceptible,Escherichia coli,0
562.86499,Escherichia coli strain DFI.1.67,Susceptible,Escherichia coli,0
562.23455,Escherichia coli O2:H6 strain ECO1019,Susceptible,Escherichia coli,0
